format,block,bits,target,seed,loss,baseline,ratio,predict_zero,r2,grad_survive
elementwise,1,2,grad_sr,7,0.01278800331056118,0.012847610749304295,0.9953604261596778,6.36583137512207,0.9979911495361725,1.0
elementwise,1,2,grad_sr,8,0.018586117774248123,0.01875096559524536,0.9912085689582281,10.376636505126953,0.9982088494894212,1.0
elementwise,1,2,grad_sr,9,0.009485956281423569,0.009464801289141178,1.0022351227074002,6.451923370361328,0.9985297475284657,1.0
elementwise,1,3,grad_sr,0,0.01363289263099432,0.013663075864315033,0.9977908903075372,8.965968132019043,0.9984794845988456,1.0
elementwise,1,3,grad_sr,1,0.010885048657655716,0.010934211313724518,0.995503776664066,12.691564559936523,0.9991423398899126,1.0
elementwise,1,3,grad_sr,2,0.017354503273963928,0.017455827444791794,0.9941953957125019,25.280773162841797,0.9993135295680169,1.0
elementwise,1,3,grad_sr,3,0.012227926403284073,0.012325681746006012,0.9920689707282426,16.42084312438965,0.999255341135004,1.0
elementwise,1,3,grad_sr,4,0.022792592644691467,0.02263081818819046,1.007148413952856,13.080814361572266,0.9982575555302085,1.0
elementwise,1,3,grad_sr,5,0.013893934898078442,0.013845410197973251,1.003504749907106,10.768573760986328,0.9987097701880991,1.0
elementwise,1,3,grad_sr,6,0.009529353119432926,0.0095467958599329,0.998172922019504,19.657512664794922,0.9995152309815626,1.0
elementwise,1,3,grad_sr,7,0.012866785749793053,0.012847610749304295,1.001492495442376,6.36583137512207,0.9979787737073783,1.0
elementwise,1,3,grad_sr,8,0.01863834634423256,0.01875096559524536,0.9939939492480665,10.376636505126953,0.998203816204314,1.0
elementwise,1,3,grad_sr,9,0.009489811956882477,0.009464801289141178,1.0026424926395436,6.451923370361328,0.9985291499275276,1.0
elementwise,1,4,grad_sr,0,0.013657722622156143,0.013663075864315033,0.9996081964111119,8.965968132019043,0.9984767152391071,1.0
elementwise,1,4,grad_sr,1,0.010943176224827766,0.010934211313724518,1.0008198955412537,12.691564559936523,0.999137759874037,1.0
elementwise,1,4,grad_sr,2,0.017405841499567032,0.017455827444791794,0.997136432209653,25.280773162841797,0.9993114988458838,1.0
elementwise,1,4,grad_sr,3,0.012318665161728859,0.012325681746006012,0.9994307345896363,16.42084312438965,0.9992498153067773,1.0
elementwise,1,4,grad_sr,4,0.02268998697400093,0.02263081818819046,1.0026145226088796,13.080814361572266,0.9982653995120779,1.0
elementwise,1,4,grad_sr,5,0.01386463362723589,0.013845410197973251,1.0013884333499525,10.768573760986328,0.998712491186394,1.0
elementwise,1,4,grad_sr,6,0.009517407044768333,0.0095467958599329,0.9969216043166997,19.657512664794922,0.9995158386919515,1.0
elementwise,1,4,grad_sr,7,0.012819936498999596,0.012847610749304295,0.9978459613351691,6.36583137512207,0.9979861331939924,1.0
elementwise,1,4,grad_sr,8,0.018685458227992058,0.01875096559524536,0.9965064536585831,10.376636505126953,0.9981992760160039,1.0
elementwise,1,4,grad_sr,9,0.009467351250350475,0.009464801289141178,1.0002694151870068,6.451923370361328,0.9985326311695143,1.0
elementwise,1,5,grad_sr,0,0.013665841892361641,0.013663075864315033,1.0002024454869516,8.965968132019043,0.9984758096737419,1.0
elementwise,1,5,grad_sr,1,0.010940194129943848,0.010934211313724518,1.0005471648615223,12.691564559936523,0.9991379948407244,1.0
elementwise,1,5,grad_sr,2,0.017403796315193176,0.017455827444791794,0.9970192687935775,25.280773162841797,0.9993115797446902,1.0
elementwise,1,5,grad_sr,3,0.012313101440668106,0.012325681746006012,0.9989793420277152,16.42084312438965,0.9992501541274468,1.0
elementwise,1,5,grad_sr,4,0.022645574063062668,0.02263081818819046,1.000652025691228,13.080814361572266,0.9982687947831758,1.0
elementwise,1,5,grad_sr,5,0.013849575072526932,0.013845410197973251,1.0003008126515667,10.768573760986328,0.9987138895660721,1.0
elementwise,1,5,grad_sr,6,0.009538954123854637,0.0095467958599329,0.9991786002137981,19.657512664794922,0.999514742567561,1.0
elementwise,1,5,grad_sr,7,0.012834487482905388,0.012847610749304295,0.9989785442091155,6.36583137512207,0.9979838473992473,1.0
elementwise,1,5,grad_sr,8,0.018692970275878906,0.01875096559524536,0.9969070755811551,10.376636505126953,0.9981985520773863,1.0
elementwise,1,5,grad_sr,9,0.00946485809981823,0.009464801289141178,1.0000060023105943,6.451923370361328,0.9985330175892514,1.0
elementwise,1,7,grad_sr,0,0.01366739347577095,0.013663075864315033,1.0003160058173426,8.965968132019043,0.9984756366212186,1.0
elementwise,1,7,grad_sr,1,0.010936136357486248,0.010934211313724518,1.0001760569378528,12.691564559936523,0.9991383145627286,1.0
elementwise,1,7,grad_sr,2,0.017440415918827057,0.017455827444791794,0.999117112837333,25.280773162841797,0.9993101312287213,1.0
elementwise,1,7,grad_sr,3,0.012323159724473953,0.012325681746006012,0.9997953848246264,16.42084312438965,0.9992495415959385,1.0
elementwise,1,7,grad_sr,4,0.02263670042157173,0.02263081818819046,1.0002599213750187,13.080814361572266,0.9982694731538985,1.0
elementwise,1,7,grad_sr,5,0.013845707289874554,0.013845410197973251,1.0000214577897697,10.768573760986328,0.9987142487392308,1.0
elementwise,1,7,grad_sr,6,0.009547197259962559,0.0095467958599329,1.000042045523498,19.657512664794922,0.9995143232298631,1.0
elementwise,1,7,grad_sr,7,0.012848837301135063,0.012847610749304295,1.0000954692553115,6.36583137512207,0.9979815932053512,1.0
elementwise,1,7,grad_sr,8,0.018716908991336823,0.01875096559524536,0.9981837413259841,10.376636505126953,0.9981962450952109,1.0
elementwise,1,7,grad_sr,9,0.009463907219469547,0.009464801289141178,0.9999055374070392,6.451923370361328,0.9985331649686131,1.0
elementwise,1,10,grad_sr,0,0.01366395317018032,0.013663075864315033,1.0000642099827302,8.965968132019043,0.9984760203283142,1.0
elementwise,1,10,grad_sr,1,0.010934334248304367,0.010934211313724518,1.000011243113593,12.691564559936523,0.9991384565554021,1.0
elementwise,1,10,grad_sr,2,0.017456570640206337,0.017455827444791794,1.0000425757768798,25.280773162841797,0.9993094922165646,1.0
